date,rate of arrest
post,2020-05-07,0.10551558752997602
post,2020-05-08,0.12669683257918551
post,2020-05-09,0.15904139433551198
post,2020-05-10,0.13771186440677965
post,2020-05-11,0.12026726057906459
post,2020-05-12,0.13808463251670378
post,2020-05-13,0.1298449612403101
post,2020-05-14,0.13174946004319654
post,2020-05-15,0.17153284671532848
post,2020-05-16,0.16493055555555555
post,2020-05-17,0.11818181818181818
post,2020-05-18,0.13078470824949698
post,2020-05-19,0.17094017094017094
post,2020-05-20,0.16135084427767354
post,2020-05-21,0.18126272912423624
post,2020-05-22,0.18525519848771266
post,2020-05-23,0.22
post,2020-05-24,0.2314487632508834
post,2020-05-25,0.21439749608763695
post,2020-05-26,0.19618055555555555
post,2020-05-27,0.16842105263157894
post,2020-05-28,0.16087751371115175
post,2020-05-29,0.1559792027729636
post,2020-05-30,0.09130434782608696
post,2020-05-31,0.09076517150395778
post,2020-06-01,0.1535796766743649
post,2020-06-02,0.17925925925925926
post,2020-06-03,0.1720257234726688
post,2020-06-04,0.18371212121212122
post,2020-06-05,0.16883116883116883
post,2020-06-06,0.12380952380952381
post,2020-06-07,0.14156079854809436
post,2020-06-08,0.14694656488549618
post,2020-06-09,0.1257606490872211
post,2020-06-10,0.12701612903225806
post,2020-06-11,0.12727272727272726
post,2020-06-12,0.1378737541528239
post,2020-06-13,0.14171656686626746
post,2020-06-14,0.12897196261682242
post,2020-06-15,0.0979020979020979
post,2020-06-16,0.10237659963436929
post,2020-06-17,0.13087248322147652
post,2020-06-18,0.09612141652613827
post,2020-06-19,0.09475465313028765
post,2020-06-20,0.10889570552147239
post,2020-06-21,0.12372881355932204
post,2020-06-22,0.10494752623688156
post,2020-06-23,0.10452961672473868
post,2020-06-24,0.12478336221837089
post,2020-06-25,0.11311475409836065
post,2020-06-26,0.14156079854809436
post,2020-06-27,0.11245674740484429
post,2020-06-28,0.13043478260869565
post,2020-06-29,0.12159709618874773
post,2020-06-30,0.11130742049469965
post,2020-07-01,0.12405446293494705
post,2020-07-02,0.16587677725118483
post,2020-07-03,0.15735294117647058
post,2020-07-04,0.16508795669824086
post,2020-07-05,0.1753889674681754
post,2020-07-06,0.1478537360890302
post,2020-07-07,0.12637362637362637
post,2020-07-08,0.14156079854809436
post,2020-07-09,0.12681159420289856
post,2020-07-10,0.14820359281437126
post,2020-07-11,0.11642743221690591
post,2020-07-12,0.12248322147651007
post,2020-07-13,0.12066365007541478
post,2020-07-14,0.132996632996633
post,2020-07-15,0.11952861952861953
post,2020-07-16,0.15449915110356535
post,2020-07-17,0.130568356374808
post,2020-07-18,0.11093990755007704
post,2020-07-19,0.12861736334405144
post,2020-07-20,0.08948194662480377
post,2020-07-21,0.13526570048309178
post,2020-07-22,0.1490066225165563
post,2020-07-23,0.13120567375886524
post,2020-07-24,0.13987138263665594
post,2020-07-25,0.13125
post,2020-07-26,0.12183544303797468
post,2020-07-27,0.11274509803921569
post,2020-07-28,0.16129032258064516
post,2020-07-29,0.16965742251223492
post,2020-07-30,0.14597315436241612
post,2020-07-31,0.12861736334405144
post,2020-08-01,0.140625
post,2020-08-02,0.1433628318584071
post,2020-08-03,0.10367892976588629
post,2020-08-04,0.1287313432835821
post,2020-08-05,0.1762652705061082
post,2020-08-06,0.14285714285714285
post,2020-08-07,0.1465076660988075
post,2020-08-08,0.16236722306525037
post,2020-08-09,0.14728682170542637
post,2020-08-10,0.09539121114683816
post,2020-08-11,0.15110356536502548
post,2020-08-12,0.1905564924114671
post,2020-08-13,0.16876971608832808
post,2020-08-14,0.17377567140600317
post,2020-08-15,0.15883306320907617
post,2020-08-16,0.17095310136157338
post,2020-08-17,0.1289308176100629
post,2020-08-18,0.11696869851729819
post,2020-08-19,0.1407766990291262
post,2020-08-20,0.12579617834394904
post,2020-08-21,0.12732919254658384
post,2020-08-22,0.140625
post,2020-08-23,0.14814814814814814
post,2020-08-24,0.10708661417322834
post,2020-08-25,0.1392
post,2020-08-26,0.13771517996870108
post,2020-08-27,0.11623931623931624
post,2020-08-28,0.16818181818181818
post,2020-08-29,0.20031298904538342
post,2020-08-30,0.1743119266055046
post,2020-08-31,0.14410480349344978
post,2020-09-01,0.13432835820895522
post,2020-09-02,0.1347517730496454
post,2020-09-03,0.12743362831858407
post,2020-09-04,0.17601246105919002
post,2020-09-05,0.1904047976011994
post,2020-09-06,0.19874804381846636
post,2020-09-07,0.22750424448217318
post,2020-09-08,0.13271028037383178
post,2020-09-09,0.12333965844402277
post,2020-09-10,0.11545293072824156
